Store,Country,State,City,Category,Clothing Type,Store Number,Postal Code,Store Type,Store Open Date,Selling Area Size (sq ft),Store Manager,Manager ID,Store Address,Operating Hours,Staff Count,Parking Availability,Security Features,Order ID,Order Date,Month,Customer ID,Customer Name,Product ID,Price,Quantity,Sales Profit,Sales Amount,Order_Year,Order_Month,Order_Day
Zudio,India,Karnataka,Jalna,Women,Dresses,30,411084,Owned,04-06-2022,950,Lori Hill,M77,"PSC 4147, Box 1289 APO AA 19737",10 AM - 7 PM,17,Not Available,Alarm,88240,06-11-2024,November,233084,Michele Ochoa,354,1958,5,3916,9790,2024,11,6
Zudio,India,Gujarat,Patna,Kids,Skirts,48,404562,Owned,19-12-2020,1200,Deborah Jackson,M89,"0189 Anthony Stravenue Apt. 861 Maryhaven, WV 77722",10 AM - 9 PM,6,Not Available,Alarm,78145,17-06-2024,June,926472,Daniel Jimenez,741,2078,1,831.2,2078,2024,6,17
Zudio,India,Uttar Pradesh,Kolkata,Men,Hoodies,97,437773,Rented,04-09-2023,1100,Adam Anderson,M71,Unit 8794 Box 3846 DPO AP 31354,10 AM - 9 PM,18,Not Available,CCTV,33363,17-08-2024,August,853255,Steven Davis,607,1445,2,1156,2890,2024,8,17
Zudio,India,West Bengal,Kolkata,Women,Dresses,93,431725,Owned,11-04-2024,1400,Anthony Smith,M40,"473 Wise Summit Lake Carrie, IN 32156",11 AM - 8 PM,13,Not Available,CCTV,46682,27-03-2024,March,106146,Derek Orozco,991,2469,6,5925.6,14814,2024,3,27
Zudio,India,West Bengal,Guwahati,Men,Dresses,51,415370,Owned,29-05-2022,1400,Matthew Romero,M24,"0557 Cameron Trail Apt. 690 South Samuel, TX 36835",10 AM - 7 PM,19,Not Available,"CCTV, Alarm",58242,08-04-2024,April,264070,Victor Arnold,479,1105,6,2652,6630,2024,4,8
Zudio,India,West Bengal,Nashik,Kids,Jackets,71,417269,Owned,17-06-2021,800,Chelsea Hill,M14,"3318 Carter Burgs Apt. 327 North Richardshire, CT 47189",9 AM - 8 PM,14,Available,CCTV,78800,25-04-2024,April,326466,James Bennett,295,2206,4,3529.6,8824,2024,4,25
Zudio,India,Maharashtra,Lucknow,Kids,Jackets,44,439184,Rented,29-04-2021,800,Martin Hernandez,M91,"461 Shannon View Apt. 903 Matthewstown, ID 92836",11 AM - 8 PM,6,Available,CCTV,43329,19-06-2024,June,724817,Benjamin Barrett,222,2848,4,4556.8,11392,2024,6,19
Zudio,India,West Bengal,Hyderabad,Women,Tops,74,417964,Owned,16-11-2021,950,Denise Molina,M54,"75265 Taylor Stream Suite 679 Juarezview, ID 78431",10 AM - 9 PM,18,Available,CCTV,23062,11-06-2024,June,870587,Matthew Cervantes,595,1694,8,5420.8,13552,2024,6,11
Zudio,India,Karnataka,Ahmedabad,Men,Shoes,71,414510,Rented,23-11-2023,1400,Curtis Henson,M87,"7868 Bradley Key Suite 443 New Tracyfort, WV 43313",10 AM - 7 PM,5,Available,"CCTV, Alarm",72223,24-01-2024,January,790306,Shelley Lopez,243,2024,1,809.6,2024,2024,1,24
Zudio,India,Karnataka,Hyderabad,Kids,Jeans,26,411577,Rented,02-09-2021,1400,Danielle Ballard,M82,Unit 4120 Box 3354 DPO AP 74324,10 AM - 9 PM,8,Available,,35882,02-02-2024,February,943541,Brandon Sampson,910,2581,6,6194.4,15486,2024,2,2
