Store,Country,State,City,Category,Clothing Type,Store Number,Postal Code,Store Type,Store Open Date,Selling Area Size (sq ft),Store Manager,Manager ID,Store Address,Contact Information,Operating Hours,Staff Count,Parking Availability,Security Features,Order ID,Order Date,Month,Customer ID,Customer Name,Product ID,Price,Quantity,Sales Profit
Zudio,India,Karnataka,Jalna,Women,Dresses,30,411084,Owned,2022-06-04,950,Lori Hill,M77,"PSC 4147, Box 1289 APO AA 19737",(014)392-4112x860,10 AM - 7 PM,17,Not Available,Alarm,88240,2024-11-06,November,233084,Michele Ochoa,354,1958,5,3916.0
Zudio,India,Gujarat,Patna,Kids,Skirts,48,404562,Owned,2020-12-19,1200,Deborah Jackson,M89,"0189 Anthony Stravenue Apt. 861 Maryhaven, WV 77722",+1-838-710-2029,10 AM - 9 PM,6,Not Available,Alarm,78145,2024-06-17,June,926472,Daniel Jimenez,741,2078,1,831.2
Zudio,India,Uttar Pradesh,Kolkata,Men,Hoodies,97,437773,Rented,2023-09-04,1100,Adam Anderson,M71,Unit 8794 Box 3846 DPO AP 31354,523.732.1176x07696,10 AM - 9 PM,18,Not Available,CCTV,33363,2024-08-17,August,853255,Steven Davis,607,1445,2,1156.0
Zudio,India,West Bengal,Kolkata,Women,Dresses,93,431725,Owned,2024-04-11,1400,Anthony Smith,M40,"473 Wise Summit Lake Carrie, IN 32156",+1-846-657-3934x68953,11 AM - 8 PM,13,Not Available,CCTV,46682,2024-03-27,March,106146,Derek Orozco,991,2469,6,5925.6
Zudio,India,West Bengal,Guwahati,Men,Dresses,51,415370,Owned,2022-05-29,1400,Matthew Romero,M24,"0557 Cameron Trail Apt. 690 South Samuel, TX 36835",(336)147-6341,10 AM - 7 PM,19,Not Available,"CCTV, Alarm",58242,2024-04-08,April,264070,Victor Arnold,479,1105,6,2652.0
Zudio,India,West Bengal,Nashik,Kids,Jackets,71,417269,Owned,2021-06-17,800,Chelsea Hill,M14,"3318 Carter Burgs Apt. 327 North Richardshire, CT 47189",+1-149-000-5823,9 AM - 8 PM,14,Available,CCTV,78800,2024-04-25,April,326466,James Bennett,295,2206,4,3529.6000000000004
Zudio,India,Maharashtra,Lucknow,Kids,Jackets,44,439184,Rented,2021-04-29,800,Martin Hernandez,M91,"461 Shannon View Apt. 903 Matthewstown, ID 92836",+1-886-886-9185x9650,11 AM - 8 PM,6,Available,CCTV,43329,2024-06-19,June,724817,Benjamin Barrett,222,2848,4,4556.8
Zudio,India,West Bengal,Hyderabad,Women,Tops,74,417964,Owned,2021-11-16,950,Denise Molina,M54,"75265 Taylor Stream Suite 679 Juarezview, ID 78431",(646)899-9850,10 AM - 9 PM,18,Available,CCTV,23062,2024-06-11,June,870587,Matthew Cervantes,595,1694,8,5420.8
Zudio,India,Karnataka,Ahmedabad,Men,Shoes,71,414510,Rented,2023-11-23,1400,Curtis Henson,M87,"7868 Bradley Key Suite 443 New Tracyfort, WV 43313",(337)998-4800x283,10 AM - 7 PM,5,Available,"CCTV, Alarm",72223,2024-01-24,January,790306,Shelley Lopez,243,2024,1,809.6
Zudio,India,Karnataka,Hyderabad,Kids,Jeans,26,411577,Rented,2021-09-02,1400,Danielle Ballard,M82,Unit 4120 Box 3354 DPO AP 74324,(315)462-2864x05458,10 AM - 9 PM,8,Available,None,35882,2024-02-02,February,943541,Brandon Sampson,910,2581,6,6194.400000000001
Zudio,India,Maharashtra,Kolkata,Men,Hoodies,26,404610,Rented,2022-12-27,1300,Lori Morris,M39,"2006 Baker Plaza Suite 213 Smithhaven, WY 89474",001-666-518-4316x287,11 AM - 8 PM,9,Available,None,13270,2024-07-16,July,734952,Melissa Rowland,639,1457,5,2914.0
Zudio,India,Uttar Pradesh,Nashik,Men,Jackets,90,411552,Rented,2022-12-10,1000,Brian Ruiz,M31,"06314 Sanders Brook North Ginaton, SD 13921",535-871-6788,10 AM - 9 PM,11,Available,None,84854,2024-07-22,July,151454,Thomas Lin,878,2839,1,1135.6000000000001
Zudio,India,Maharashtra,Faridabad,Kids,Pants,5,408436,Rented,2020-06-11,1200,Elizabeth Walker,M18,"34937 Anthony Point Suite 869 North Brian, NH 34324",001-190-519-8370x89059,10 AM - 9 PM,3,Not Available,Alarm,97711,2024-05-17,May,716554,Bruce Leonard,740,2592,5,5184.0
Zudio,India,Gujarat,Noida,Kids,Skirts,74,425684,Owned,2021-10-03,1200,Donald Walker,M11,"638 Doris Ridge Suite 116 Michelleberg, SD 06720",+1-579-715-4264x6243,10 AM - 9 PM,19,Available,CCTV,30037,2024-05-20,May,806957,Tracey Barnes,255,642,8,2054.4
Zudio,India,Tamil Nadu,Madurai,Kids,Sweaters,75,428065,Owned,2022-07-29,1000,Emily Whitehead,M56,"21285 John Ferry Suite 641 Amyside, IN 46086",+1-681-005-5756x68861,11 AM - 8 PM,5,Not Available,Alarm,97353,2024-10-26,October,512228,Cindy Ramirez,963,2875,2,2300.0
Zudio,India,Rajasthan,Noida,Women,Dresses,4,424740,Rented,2020-10-13,1000,Heather Pollard,M96,"240 Rojas Neck Rogerfurt, TN 47231",001-515-517-6493x78873,11 AM - 8 PM,4,Available,CCTV,10924,2024-03-19,March,344298,Courtney Morris,372,2922,8,9350.4
Zudio,India,Maharashtra,Chhattisgarh,Men,Pants,29,404159,Owned,2020-05-22,950,Donna Cantrell,M86,"24816 Adams Plaza Leslieshire, NM 27165",001-318-326-8652x65339,10 AM - 7 PM,19,Not Available,Alarm,89515,2024-11-09,November,907479,Sean Taylor,342,2087,8,6678.400000000001
Zudio,India,Rajasthan,Bengaluru,Women,Hoodies,43,423063,Owned,2021-01-20,1400,Sandra Burns,M75,"468 Courtney Trail Apt. 647 Dominiqueside, SD 35375",4312762356,11 AM - 8 PM,8,Available,"CCTV, Alarm",76134,2024-07-19,July,908342,Shannon Kelly,895,2299,3,2758.8
Zudio,India,Rajasthan,Kolkata,Women,T-shirts,23,403179,Rented,2024-10-19,1100,Maria Parks,M84,"589 William Valley Apt. 519 Michaelland, WI 71080",929-212-1906x568,10 AM - 7 PM,5,Not Available,Alarm,23233,2024-09-03,September,578725,Brenda Gordon,481,2581,2,2064.8
Zudio,India,Rajasthan,Agra,Kids,T-shirts,5,415378,Rented,2022-05-30,950,Jason Parrish,M75,"09369 Derek Forges East Crystalville, OR 21490",+1-816-384-3133x2623,10 AM - 9 PM,3,Not Available,"CCTV, Alarm",14350,2024-03-31,March,126081,Mark Perkins,706,500,4,800.0
Zudio,India,Tamil Nadu,Thane,Kids,Dresses,31,429523,Rented,2021-11-18,1300,Paul Garrett,M50,"663 Judy Village Benjaminborough, CO 11270",001-363-029-7262x7248,11 AM - 8 PM,15,Not Available,Alarm,53128,2024-08-28,August,773301,Aaron Lewis,839,1952,3,2342.4
Zudio,India,Delhi,Patna,Kids,Dresses,49,417553,Owned,2024-06-27,1000,Jeffrey Boyle,M19,"8844 Robert Club Apt. 926 North Williamborough, SC 12197",984-847-5274,11 AM - 8 PM,8,Not Available,None,74430,2024-05-10,May,175073,Tonya Manning,970,2249,3,2698.8
Zudio,India,Gujarat,Chhattisgarh,Kids,Dresses,83,423751,Rented,2021-11-11,800,Catherine Peters,M58,"4853 Rodriguez Manor East Adam, ME 98389",001-096-596-8912,10 AM - 9 PM,13,Not Available,Alarm,91374,2024-06-07,June,880047,Shannon Jarvis,481,1873,2,1498.4
Zudio,India,West Bengal,Nashik,Women,Shoes,67,433909,Owned,2022-09-21,1400,Diane Johnson,M38,"295 Dennis Burgs Stacymouth, GA 92749",281.428.3975x69152,11 AM - 8 PM,13,Not Available,CCTV,75675,2024-05-01,May,957504,Andre Fuentes,913,1229,7,3441.2000000000003
Zudio,India,Karnataka,Noida,Kids,Sweaters,52,409154,Rented,2020-03-10,1200,Elizabeth Castillo,M33,"750 Murray Station Suite 588 Port Dawnview, OK 57693",505.850.8206x89811,10 AM - 7 PM,5,Available,CCTV,49807,2024-10-25,October,345237,Kelly Braun,327,1676,7,4692.8
Zudio,India,Karnataka,Bengaluru,Women,Tops,15,424173,Rented,2021-05-31,1100,Donald Horton,M27,Unit 5604 Box 6098 DPO AP 20626,789-748-8733,11 AM - 8 PM,13,Not Available,"CCTV, Alarm",77434,2024-01-18,January,291736,Donna Rodriguez,693,1764,1,705.6
Zudio,India,Karnataka,Chandigarh,Women,Sweaters,1,422109,Owned,2023-12-19,1200,Daniel Marshall,M59,"PSC 5996, Box 0535 APO AP 11034",(716)189-7958,9 AM - 8 PM,3,Available,Alarm,16226,2024-04-05,April,858667,Michelle Torres,206,2411,4,3857.6000000000004
Zudio,India,Gujarat,Ranchi,Men,Skirts,25,435701,Rented,2020-06-19,800,Marc Taylor,M84,"PSC 8659, Box 8391 APO AA 17496",+1-414-712-6135,10 AM - 9 PM,4,Available,CCTV,91338,2024-11-05,November,113822,Angela Buckley,288,2519,2,2015.2
Zudio,India,Karnataka,Agra,Kids,Hoodies,13,436327,Rented,2024-03-13,1100,Julia Pruitt,M5,"285 James Underpass Apt. 258 Martinland, OH 31985",(252)789-2394,11 AM - 8 PM,8,Available,Alarm,66941,2024-10-15,October,453482,Monica Meyer,697,1524,6,3657.6000000000004
Zudio,India,West Bengal,Mysuru,Kids,Sweaters,100,408489,Rented,2020-09-18,1300,Eddie Ramirez,M67,"219 Whitaker Shoal Suite 749 Michaelberg, FL 47503",001-977-889-9636x509,11 AM - 8 PM,8,Available,Alarm,42387,2024-05-14,May,140082,Larry West,600,2877,5,5754.0
Zudio,India,Maharashtra,Jalna,Women,Hoodies,62,437619,Rented,2020-03-30,800,Courtney White,M95,"013 Timothy Tunnel Suite 710 Mauricetown, NH 39270",(192)419-5193,10 AM - 9 PM,10,Available,Alarm,36217,2024-10-25,October,898096,Morgan Gonzales,512,1089,2,871.2
Zudio,India,Rajasthan,Vadodara,Men,Jackets,78,409258,Rented,2023-01-26,950,Tammy Lopez,M47,"19303 Kaitlyn Club South Rose, SC 87962",7301627414,10 AM - 9 PM,10,Available,None,89182,2024-08-04,August,214027,Timothy Jackson,783,1977,2,1581.6000000000001
Zudio,India,West Bengal,Jammu,Women,Pants,33,424287,Owned,2022-02-21,1000,Jonathan Mack,M45,"4596 Odonnell Vista Owenburgh, SC 64451",539.813.0067x590,11 AM - 8 PM,20,Available,CCTV,70978,2024-12-03,December,442951,Rachel Bass,785,2220,8,7104.0
Zudio,India,Delhi,Varanasi,Kids,Pants,55,423944,Owned,2021-06-21,1400,Andrew James,M35,"3538 Lindsey Roads Apt. 818 New Samuel, CA 78166",+1-564-355-1557,10 AM - 7 PM,14,Available,CCTV,30076,2024-09-25,September,961724,Connie Cox,477,2918,6,7003.200000000001
Zudio,India,Uttar Pradesh,Visakhapatnam,Women,Jackets,12,420852,Owned,2024-07-30,1200,Matthew Clark MD,M22,"657 Steven Summit Lake Jason, TX 86831",101-736-4310x6378,10 AM - 9 PM,4,Available,Alarm,65174,2024-10-06,October,951069,Corey Nichols,786,2964,2,2371.2000000000003
Zudio,India,Uttar Pradesh,Bhopal,Men,Hoodies,94,432046,Rented,2020-05-06,1000,Christopher Chambers,M55,"451 Ward Course Apt. 364 South Sarahhaven, AZ 70285",+1-314-754-0481x0845,11 AM - 8 PM,9,Available,CCTV,61937,2024-12-01,December,630401,Elizabeth Martin,348,2552,4,4083.2000000000003
Zudio,India,Rajasthan,Mysuru,Men,T-shirts,85,436989,Owned,2024-03-28,1000,Dawn Perez,M80,"842 Cameron Road Cooperfurt, MD 35663",840-652-3474x81658,9 AM - 8 PM,8,Not Available,None,49031,2024-07-22,July,493777,Christopher Burns MD,631,2430,1,972.0
Zudio,India,Rajasthan,Guwahati,Men,Tops,76,408191,Rented,2022-09-05,1400,Nathan Martinez,M41,"0865 Knight Garden Suite 435 Michaelborough, MN 99314",500-222-4196x881,9 AM - 8 PM,14,Not Available,CCTV,61642,2024-07-06,July,204872,Andrew Ferguson,454,2083,5,4166.0
Zudio,India,Gujarat,Indore,Women,Jeans,13,403154,Owned,2023-01-01,1000,Erin Conner,M44,"630 Anderson Valley Carlymouth, KY 77205",483.332.6287,10 AM - 9 PM,18,Available,CCTV,72434,2024-08-27,August,406764,Jenny Montgomery,258,569,1,227.60000000000002
Zudio,India,Delhi,Jalna,Women,Pants,79,403160,Owned,2024-11-16,1200,Pamela Dawson,M39,Unit 3662 Box 4688 DPO AP 58146,+1-768-217-0501x149,10 AM - 7 PM,20,Available,CCTV,37879,2024-02-14,February,497087,Diana Allen MD,674,1331,3,1597.2
Zudio,India,Gujarat,Lucknow,Kids,Tops,4,416288,Owned,2020-06-05,1200,Gregory Wilson,M86,"648 Ruiz Pike Port Brianfurt, MI 14514",358-781-2520x85502,11 AM - 8 PM,6,Not Available,"CCTV, Alarm",83512,2024-08-08,August,231344,Tammy Morales,270,1223,4,1956.8000000000002
Zudio,India,Uttar Pradesh,Bhopal,Kids,Hoodies,91,401707,Owned,2024-02-27,1000,Rachel Dawson,M6,"175 Lori Burg Suite 554 West Brandonfort, IN 43181",(104)371-4195x230,10 AM - 7 PM,6,Not Available,CCTV,28223,2024-02-08,February,861284,Jennifer Nguyen,262,2952,4,4723.2
Zudio,India,Tamil Nadu,Jammu,Men,Hoodies,24,422902,Owned,2023-10-09,1200,Natalie Perkins,M1,"14040 Douglas Canyon Suite 532 Davidshire, ND 86912",677.852.3183x499,10 AM - 9 PM,4,Available,Alarm,46532,2024-02-09,February,113437,Angela Vincent,268,2353,4,3764.8
Zudio,India,Tamil Nadu,Kolhapur,Kids,Shoes,35,416449,Owned,2023-02-15,1100,Samuel Blair,M37,USNS Sellers FPO AE 41364,734.062.7773x051,9 AM - 8 PM,13,Available,None,52166,2024-03-21,March,980511,Vanessa Garrison,389,1961,3,2353.2000000000003
Zudio,India,Tamil Nadu,Bhopal,Women,Skirts,11,426039,Rented,2024-07-11,1400,Jacqueline Brown,M67,"2862 Stafford Ville New Kimberly, NH 46526",(173)437-7640x8529,10 AM - 7 PM,8,Not Available,CCTV,14335,2024-09-28,September,258870,Eric Gordon,600,754,8,2412.8
Zudio,India,Gujarat,Mysuru,Kids,Pants,34,406635,Owned,2021-02-15,1300,Kathleen Acevedo,M58,"40699 Michael Springs East Patricia, NM 81150",(258)356-1368,10 AM - 9 PM,9,Available,None,51465,2024-08-29,August,351201,Clarence Turner,629,2878,6,6907.200000000001
Zudio,India,Delhi,Kolkata,Women,Tops,33,429412,Owned,2022-05-03,1100,Christina Cox,M8,"594 Jones Isle Apt. 388 South Jackton, KY 76236",785-947-0019x11601,10 AM - 9 PM,18,Not Available,None,61221,2024-10-20,October,236589,Jennifer Williams,377,1733,5,3466.0
Zudio,India,Gujarat,Solapur,Women,Hoodies,99,415246,Owned,2021-10-18,800,Anthony Nash,M82,"PSC 6909, Box 8714 APO AP 08536",+1-372-130-4939x9016,9 AM - 8 PM,17,Not Available,Alarm,58279,2024-07-30,July,730449,Jeffrey Shaw,778,699,3,838.8000000000001
Zudio,India,Karnataka,Indore,Women,Jackets,71,436448,Owned,2022-01-05,1300,Jeffrey Johnson,M85,"2199 Scott Bridge Port Catherinemouth, WY 89354",(231)062-6049x1974,10 AM - 7 PM,17,Not Available,"CCTV, Alarm",68615,2024-10-04,October,899545,Courtney Edwards,830,1225,3,1470.0
Zudio,India,Karnataka,Rajkot,Kids,Tops,74,432571,Rented,2022-11-18,1200,Ryan Brown,M98,"522 Maria Inlet South Marissafort, KS 81324",942-692-9481x12911,9 AM - 8 PM,18,Not Available,None,52843,2024-05-11,May,303990,Stephanie Rodriguez,329,2666,1,1066.4
Zudio,India,Rajasthan,Bhopal,Women,Shirts,60,416049,Owned,2024-05-15,950,Patricia Brock,M33,"8677 Michael Key West Dwaynefurt, MD 34063",070-043-1033,11 AM - 8 PM,8,Not Available,CCTV,38355,2024-11-17,November,917117,Jody Stewart,279,1469,1,587.6
